"Application id","Session id","Loan Amount","Loan Term","Loan issued","Loan missed first payment","Customer completed open banking","Customer uploaded a payslip","Customer signed contract","Customer is a homeowner"
18860668,"7cd2ae29-7654-11ea-a8e5-069d8de3f4da",1500,36,1,0,1,1,1,1
18860711,"d59b0b55-7654-11ea-a8e5-069d8de3f4da",14500,36,1,0,1,1,1,0
18861231,"e3b120e4-7657-11ea-a8e5-069d8de3f4da",1000,12,0,0,0,0,1,0
18861368,"c2b6736b-7658-11ea-a8e5-069d8de3f4da",500,12,0,0,0,0,1,0
18861436,"52f57e2e-7659-11ea-a8e5-069d8de3f4da",5000,60,0,0,1,0,0,0
18861850,"583300b0-765c-11ea-a8e5-069d8de3f4da",1500,48,1,0,1,1,1,0
18862025,"3a8f1331-765d-11ea-a8e5-069d8de3f4da",9500,48,1,0,0,1,1,0
18862311,"b7c9e9a4-765f-11ea-a8e5-069d8de3f4da",4000,24,0,0,0,0,0,1
18862497,"525b793f-7660-11ea-a8e5-069d8de3f4da",2000,18,1,0,1,0,1,0
18862747,"cc469577-7661-11ea-a8e5-069d8de3f4da",5000,36,0,0,0,0,0,0
18863146,"9ea4b897-7663-11ea-a8e5-069d8de3f4da",2000,24,1,0,1,1,1,0
18863251,"58519f23-7664-11ea-a8e5-069d8de3f4da",5000,36,1,0,1,1,1,0
18863354,"14bf1b6a-7665-11ea-a8e5-069d8de3f4da",15000,60,0,0,0,0,0,1
18863496,"32806c04-7666-11ea-a8e5-069d8de3f4da",2000,12,1,0,1,0,1,0
18864078,"03e684ae-766b-11ea-a8e5-069d8de3f4da",4000,60,0,0,0,0,1,1
18864163,"9d9dc978-766b-11ea-a8e5-069d8de3f4da",1900,24,0,0,0,0,0,0
18864563,"d48f8d0d-766e-11ea-a8e5-069d8de3f4da",2000,36,1,0,1,0,1,0
18864691,"eb05a5d4-766f-11ea-a8e5-069d8de3f4da",5200,12,0,0,0,0,0,1
18864961,"4d50b5d3-7672-11ea-a8e5-069d8de3f4da",5000,24,1,0,0,1,1,0
18864986,"7fc16778-7672-11ea-a8e5-069d8de3f4da",3000,30,1,0,1,1,1,0
18864994,"9034aa32-7672-11ea-a8e5-069d8de3f4da",1000,48,1,0,1,0,1,0
18865059,"14a6b140-7673-11ea-a8e5-069d8de3f4da",1200,24,1,0,1,0,1,1
18865277,"e5f099c4-7674-11ea-a8e5-069d8de3f4da",2500,12,1,0,1,0,1,1
18865364,"9c4a5592-7675-11ea-a8e5-069d8de3f4da",4500,18,0,0,0,0,0,1
18865418,"0f7dd0cb-7676-11ea-a8e5-069d8de3f4da",10000,36,1,0,0,0,1,1
18865569,"4053d92f-7677-11ea-a8e5-069d8de3f4da",4500,48,1,0,1,0,1,1
18865673,"1aea7743-7678-11ea-a8e5-069d8de3f4da",2000,36,1,0,1,0,1,1
18865890,"f41581b7-7679-11ea-a8e5-069d8de3f4da",10000,48,0,0,0,0,0,1
18865946,"82dd9fd5-767a-11ea-a8e5-069d8de3f4da",5000,36,0,0,0,0,1,0
18866019,"0ed29d08-767b-11ea-a8e5-069d8de3f4da",2000,36,0,0,0,0,0,1
18866174,"9bd63aa5-767c-11ea-a8e5-069d8de3f4da",4000,60,1,0,1,0,1,1
18866239,"362eebbc-767d-11ea-a8e5-069d8de3f4da",2000,12,0,0,0,0,0,0
18866322,"f2179be1-767d-11ea-a8e5-069d8de3f4da",1000,60,1,0,1,0,1,1
18866357,"341a1bf1-767e-11ea-a8e5-069d8de3f4da",3000,48,1,0,0,0,1,0
18866424,"c0de130a-767e-11ea-a8e5-069d8de3f4da",5400,24,1,0,1,0,1,1
18866625,"3efc6a29-7680-11ea-a8e5-069d8de3f4da",1350,24,1,0,1,1,1,0
18866736,"16844e05-7681-11ea-a8e5-069d8de3f4da",2500,36,1,0,1,0,1,1
18866771,"5ad1d53a-7681-11ea-a8e5-069d8de3f4da",4000,36,1,0,1,0,1,0
18866787,"78a8479a-7681-11ea-a8e5-069d8de3f4da",6000,18,1,0,1,1,1,0
18866967,"b1f7665f-7682-11ea-a8e5-069d8de3f4da",2000,36,1,0,0,0,1,0
18867047,"4dbad997-7683-11ea-a8e5-069d8de3f4da",10000,30,0,0,0,0,0,1
18867091,"97448253-7683-11ea-a8e5-069d8de3f4da",2500,48,0,0,0,0,0,0
18867421,"2718935b-7686-11ea-a8e5-069d8de3f4da",5000,60,0,0,1,0,1,0
18867565,"60d1cd9c-7687-11ea-a8e5-069d8de3f4da",5000,12,0,0,0,0,0,1
18868257,"a533872f-768c-11ea-a8e5-069d8de3f4da",2750,36,1,0,1,0,1,0
18868279,"e15d9a16-768c-11ea-a8e5-069d8de3f4da",1750,30,1,0,1,0,1,1
18868331,"685ac19b-768d-11ea-a8e5-069d8de3f4da",6800,36,0,0,0,0,0,0
18868414,"4f8bb4e7-768e-11ea-a8e5-069d8de3f4da",1300,60,1,0,1,1,1,1
18868494,"196bd9b9-768f-11ea-a8e5-069d8de3f4da",4000,12,0,0,0,0,0,1
18868541,"889a34bf-768f-11ea-a8e5-069d8de3f4da",5000,12,0,0,0,0,0,1
18868582,"e57c1578-768f-11ea-a8e5-069d8de3f4da",2000,36,1,0,0,1,1,1
18868681,"eb82cfde-7690-11ea-a8e5-069d8de3f4da",4000,48,1,0,1,0,1,1
18868901,"f1ed809a-7692-11ea-a8e5-069d8de3f4da",4000,12,0,0,0,0,0,1
18868931,"49bf493a-7693-11ea-a8e5-069d8de3f4da",3000,36,0,0,0,0,0,0
18868986,"d8501109-7693-11ea-a8e5-069d8de3f4da",1000,24,0,0,1,0,0,1
18869421,"94051df9-7698-11ea-a8e5-069d8de3f4da",3000,36,0,0,0,0,0,0
18870105,"3d91b378-76a1-11ea-a8e5-069d8de3f4da",4000,24,0,0,0,0,0,0
18870253,"e7996857-76a2-11ea-a8e5-069d8de3f4da",1000,24,1,0,1,0,1,0
18870379,"46f1cc7b-76a4-11ea-a8e5-069d8de3f4da",4000,36,0,0,0,0,0,0
18870589,"ed0b9bc2-76a6-11ea-a8e5-069d8de3f4da",4500,60,0,0,0,0,0,0
18870701,"4fbde1f4-76a8-11ea-a8e5-069d8de3f4da",3000,24,0,0,0,0,0,0
18870754,"e15a98f4-76a8-11ea-a8e5-069d8de3f4da",3000,36,0,0,0,0,0,1
18870901,"b6f3d106-76aa-11ea-a8e5-069d8de3f4da",3400,30,1,0,1,1,1,0
18870935,"1f24cb9d-76ab-11ea-a8e5-069d8de3f4da",5000,24,1,0,1,0,1,1
18871007,"dc5ded56-76ab-11ea-a8e5-069d8de3f4da",2000,12,0,0,0,0,0,0
18871112,"0484f5be-76ad-11ea-a8e5-069d8de3f4da",7000,60,0,0,0,0,0,1
18871160,"a10aef9d-76ad-11ea-a8e5-069d8de3f4da",6000,36,0,0,1,0,0,0
18871423,"967226ab-76b0-11ea-a8e5-069d8de3f4da",5000,60,1,0,1,1,1,0
18871599,"70debcd2-76b2-11ea-a8e5-069d8de3f4da",9500,48,1,0,1,1,1,1
18871620,"d3b2e39a-76b2-11ea-a8e5-069d8de3f4da",3000,24,0,0,0,0,0,1
18871814,"0efa91de-76b5-11ea-a8e5-069d8de3f4da",1000,12,0,0,0,0,0,1
18871894,"112ee78e-76b6-11ea-a8e5-069d8de3f4da",6900,36,1,0,1,1,1,0
18872310,"662a2f47-76bb-11ea-a8e5-069d8de3f4da",2900,18,1,0,1,0,1,0
18873080,"05452da5-76c7-11ea-a8e5-069d8de3f4da",4000,36,0,0,0,0,0,1
18873298,"5fdcc76c-76cb-11ea-a8e5-069d8de3f4da",3000,36,0,0,1,0,1,0
18873313,"9551b4cd-76cb-11ea-a8e5-069d8de3f4da",1000,12,0,0,0,0,0,1
18873724,"d8edeb13-76d5-11ea-a8e5-069d8de3f4da",1500,36,1,0,0,0,1,0
18873908,"cb5c3fdf-76db-11ea-a8e5-069d8de3f4da",1000,12,0,0,0,0,0,0
18874058,"fe24c327-76e1-11ea-a8e5-069d8de3f4da",1000,12,0,0,0,0,0,1
18874435,"26c619bc-76fd-11ea-a8e5-069d8de3f4da",2500,12,0,0,0,0,0,0
